Tarikh,Perkara,Jumlah,Kaedah,Catatan
2025-12-31,SUMBANGAN PIBG 2021-2024,28046.33,Bank,
2025-12-31,AKAUN TUMPANG,9512.69,Bank,"1. WAKAF KIPAS = RM 980(CADANGAN UNTUK BUAT TEMPAT PdP DI SURAU)
2. WAKAF KARPET SURAU = RM 9,123-RM9,000 = RM123.00 (CADANGAN UNTUK BELIKAN PA SISTEM DI SURAU)
3. WAKAF PENAPIS AIR = RM 2,090 (BELI BARU DAN LUPUSKAN YANG LAMA)
4. GOTONG ROYONG MADANI = RM 2,200
INFAK MEJA	 RM1,789.69 
BANTUAN BANJIR	 RM350.00 
BOLING AMAL KVKS	 RM1,980.00 
JUMLAH RM9,512.69 	
"
2025-12-31,GOLF AMAL 2025,1652.76,Bank,
